,Country Code,Year,Death_Rate
0,ABW,2000,6.335
1,AFE,2000,13.7756980933728
2,AFG,2000,12.096
3,AFW,2000,15.562004323077
4,AGO,2000,18.287
5,ALB,2000,5.798
6,AND,2000,0.0
7,ARB,2000,6.32506372364943
8,ARE,2000,2.107
9,ARG,2000,7.6
10,ARM,2000,8.27
11,ASM,2000,0.0
12,ATG,2000,6.587
13,AUS,2000,6.7
14,AUT,2000,9.6
15,AZE,2000,5.8
16,BDI,2000,15.907
17,BEL,2000,10.2
18,BEN,2000,11.964
19,BFA,2000,15.314
20,BGD,2000,6.855
21,BGR,2000,14.1
22,BHR,2000,2.595
23,BHS,2000,5.706
24,BIH,2000,8.358
25,BLR,2000,13.5
26,BLZ,2000,5.858
27,BMU,2000,8.0
28,BOL,2000,9.826
29,BRA,2000,6.399
30,BRB,2000,9.47
31,BRN,2000,3.331
32,BTN,2000,8.368
33,BWA,2000,13.128
34,CAF,2000,17.325
35,CAN,2000,7.1
36,CEB,2000,11.0069233625195
37,CHE,2000,8.7
38,CHI,2000,8.93287269624104
39,CHL,2000,4.959
40,CHN,2000,6.45
41,CIV,2000,14.291
42,CMR,2000,13.426
43,COD,2000,14.637
44,COG,2000,12.204
45,COL,2000,5.351
46,COM,2000,10.51
47,CPV,2000,5.844
48,CRI,2000,3.995
49,CSS,2000,7.08757362672723
50,CUB,2000,7.244
51,CUW,2000,8.084
52,CYM,2000,3.4
53,CYP,2000,7.458
54,CZE,2000,10.6
55,DEU,2000,10.2
56,DJI,2000,10.831
57,DMA,2000,9.141
58,DNK,2000,10.9
59,DOM,2000,6.169
60,DZA,2000,5.037
61,EAP,2000,6.64134846311658
62,EAR,2000,7.97685475619772
63,EAS,2000,6.65323421043453
64,ECA,2000,11.7446039704511
65,ECS,2000,10.6922658748863
66,ECU,2000,5.007
67,EGY,2000,6.384
68,EMU,2000,9.60446886901185
69,ERI,2000,11.084
70,ESP,2000,8.9
71,EST,2000,13.2
72,ETH,2000,14.758
73,EUU,2000,9.94636783647683
74,FCS,2000,13.3073689178387
75,FIN,2000,9.5
76,FJI,2000,6.457
77,FRA,2000,8.9
78,FRO,2000,7.7
79,FSM,2000,4.953
80,GAB,2000,10.002
81,GBR,2000,10.3
82,GEO,2000,11.188
83,GHA,2000,9.922
84,GIB,2000,6.637
85,GIN,2000,14.804
86,GMB,2000,11.841
87,GNB,2000,15.956
88,GNQ,2000,13.738
89,GRC,2000,9.7
90,GRD,2000,7.131
91,GRL,2000,8.0
92,GTM,2000,6.19
93,GUM,2000,4.663
94,GUY,2000,7.399
95,HIC,2000,8.49047741265434
96,HKG,2000,5.1
97,HND,2000,5.141
98,HPC,2000,13.7097286276419
99,HRV,2000,11.2
100,HTI,2000,10.341
101,HUN,2000,13.3
102,IBD,2000,7.61217188329024
103,IBT,2000,8.49931545305795
104,IDA,2000,11.6704120838541
105,IDB,2000,12.0391612904843
106,IDN,2000,7.383
107,IDX,2000,11.4862388345741
108,IMN,2000,12.885
109,IND,2000,8.701
110,INX,2000,0.0
111,IRL,2000,8.2
112,IRN,2000,5.15
113,IRQ,2000,6.172
114,ISL,2000,6.5
115,ISR,2000,6.0
116,ITA,2000,9.8
117,JAM,2000,6.894
118,JOR,2000,3.724
119,JPN,2000,7.7
120,KAZ,2000,10.06
121,KEN,2000,10.677
122,KGZ,2000,7.0
123,KHM,2000,9.273
124,KIR,2000,7.09
125,KNA,2000,9.249
126,KOR,2000,5.2
127,KWT,2000,1.868
128,LAC,2000,6.12651992428601
129,LAO,2000,10.256
130,LBN,2000,4.554
131,LBR,2000,15.228
132,LBY,2000,4.686
133,LCA,2000,6.98
134,LCN,2000,6.06438789007312
135,LDC,2000,12.1089495028468
136,LIC,2000,13.6269629815542
137,LIE,2000,7.3
138,LKA,2000,8.101
139,LMC,2000,9.08080715281273
140,LMY,2000,8.51146284663746
141,LSO,2000,16.083
142,LTE,2000,7.23947992186391
143,LTU,2000,11.1
144,LUX,2000,8.6
145,LVA,2000,13.6
146,MAC,2000,3.64
147,MAF,2000,3.63
148,MAR,2000,6.432
149,MCO,2000,0.0
150,MDA,2000,12.993
151,MDG,2000,10.385
152,MDV,2000,4.458
153,MEA,2000,5.5187844601639
154,MEX,2000,4.997
155,MHL,2000,6.388
156,MIC,2000,8.08922138371018
157,MKD,2000,8.5
158,MLI,2000,15.984
159,MLT,2000,7.5
160,MMR,2000,9.995
161,MNA,2000,5.75844433476385
162,MNE,2000,9.0
163,MNG,2000,7.359
164,MNP,2000,0.0
165,MOZ,2000,15.677
166,MRT,2000,8.856
167,MUS,2000,6.7
168,MWI,2000,19.559
169,MYS,2000,4.584
170,NAC,2000,8.36260924204353
171,NAM,2000,12.718
172,NCL,2000,5.1
173,NER,2000,17.431
174,NGA,2000,17.464
175,NIC,2000,5.547
176,NLD,2000,8.8
177,NOR,2000,9.8
178,NPL,2000,8.294
179,NRU,2000,8.238
180,NZL,2000,6.91
181,OED,2000,8.11087790265875
182,OMN,2000,3.156
183,OSS,2000,10.8906572445998
184,PAK,2000,8.77
185,PAN,2000,4.768
186,PER,2000,5.782
187,PHL,2000,5.729
188,PLW,2000,6.5
189,PNG,2000,7.471
190,POL,2000,9.6
191,PRE,2000,14.4999958639874
192,PRI,2000,7.48
193,PRK,2000,10.763
194,PRT,2000,10.2
195,PRY,2000,5.621
196,PSE,2000,4.5
197,PSS,2000,6.12414068327314
198,PST,2000,9.08537989529654
199,PYF,2000,2.284
200,QAT,2000,2.278
201,ROU,2000,11.4
202,RUS,2000,15.3
203,RWA,2000,15.774
204,SAS,2000,8.57011597489442
205,SAU,2000,3.482
206,SDN,2000,9.699
207,SEN,2000,11.181
208,SGP,2000,4.5
209,SLB,2000,5.939
210,SLE,2000,19.794
211,SLV,2000,5.876
212,SMR,2000,0.0
213,SOM,2000,15.778
214,SRB,2000,13.8
215,SSA,2000,14.4941496375743
216,SSD,2000,18.587
217,SSF,2000,14.4932196279763
218,SST,2000,9.73392428897323
219,STP,2000,9.334
220,SUR,2000,7.801
221,SVK,2000,9.8
222,SVN,2000,9.3
223,SWE,2000,10.5
224,SWZ,2000,14.521
225,SXM,2000,3.745
226,SYC,2000,6.8
227,SYR,2000,4.413
228,TCA,2000,4.463
229,TCD,2000,18.088
230,TEA,2000,6.5876622294562
231,TEC,2000,11.5330078422412
232,TGO,2000,11.898
233,THA,2000,6.043
234,TJK,2000,7.54
235,TKM,2000,6.949
236,TLA,2000,6.02625987180721
237,TLS,2000,10.187
238,TMN,2000,5.77153212291355
239,TON,2000,6.759
240,TSA,2000,8.57011597489442
241,TSS,2000,14.4932196279763
242,TTO,2000,6.98
243,TUN,2000,4.773
244,TUR,2000,5.616
245,TUV,2000,10.043
246,TZA,2000,13.251
247,UGA,2000,15.297
248,UKR,2000,15.4
249,UMC,2000,7.1458109724634
250,URY,2000,9.124
251,USA,2000,8.5
252,UZB,2000,5.5
253,VCT,2000,7.056
254,VEN,2000,4.964
255,VGB,2000,4.953
256,VIR,2000,6.0
257,VNM,2000,5.755
258,VUT,2000,5.512
259,WLD,2000,8.49359520780749
260,WSM,2000,5.138
261,XKX,2000,4.986
262,YEM,2000,7.94
263,ZAF,2000,10.174
264,ZMB,2000,16.876
265,ZWE,2000,16.801
266,ABW,2001,6.348
267,AFE,2001,13.5923980889675
268,AFG,2001,11.713
269,AFW,2001,15.2871599275165
270,AGO,2001,17.789
271,ALB,2001,5.872
272,AND,2001,0.0
273,ARB,2001,6.21247454060023
274,ARE,2001,2.047
275,ARG,2001,7.549
276,ARM,2001,8.344
277,ASM,2001,0.0
278,ATG,2001,6.305
279,AUS,2001,6.6
280,AUT,2001,9.3
281,AZE,2001,5.6
282,BDI,2001,15.316
283,BEL,2001,10.1
284,BEN,2001,11.825
285,BFA,2001,15.071
286,BGD,2001,6.75
287,BGR,2001,14.0
288,BHR,2001,2.516
289,BHS,2001,5.757
290,BIH,2001,8.187
291,BLR,2001,14.1
292,BLZ,2001,5.936
293,BMU,2001,7.2
294,BOL,2001,9.636
295,BRA,2001,6.303
296,BRB,2001,9.338
297,BRN,2001,3.326
298,BTN,2001,7.827
299,BWA,2001,13.424
300,CAF,2001,17.245
301,CAN,2001,7.1
302,CEB,2001,11.0038623624526
303,CHE,2001,8.5
304,CHI,2001,8.88088521267563
305,CHL,2001,5.157
306,CHN,2001,6.43
307,CIV,2001,14.148
308,CMR,2001,13.237
309,COD,2001,14.384
310,COG,2001,11.84
311,COL,2001,5.35
312,COM,2001,10.292
313,CPV,2001,5.446
314,CRI,2001,4.089
315,CSS,2001,7.06661792586863
316,CUB,2001,7.318
317,CUW,2001,8.256
318,CYM,2001,3.2
319,CYP,2001,7.316
320,CZE,2001,10.5
321,DEU,2001,10.1
322,DJI,2001,10.676
323,DMA,2001,9.951
324,DNK,2001,10.9
325,DOM,2001,6.201
326,DZA,2001,4.987
327,EAP,2001,6.6156923681083
328,EAR,2001,7.88550950215597
329,EAS,2001,6.62685142527588
330,ECA,2001,11.7693428950499
331,ECS,2001,10.6440560243431
332,ECU,2001,4.935
333,EGY,2001,6.285
334,EMU,2001,9.48107381212142
335,ERI,2001,9.954
336,ESP,2001,8.8
337,EST,2001,13.3
338,ETH,2001,14.36
339,EUU,2001,9.84474033406144
340,FCS,2001,13.124405739881
341,FIN,2001,9.4
342,FJI,2001,6.565
343,FRA,2001,8.8
344,FRO,2001,7.7
345,FSM,2001,4.707
346,GAB,2001,9.847
347,GBR,2001,10.2
348,GEO,2001,11.482
349,GHA,2001,9.974
350,GIB,2001,6.96
351,GIN,2001,14.543
352,GMB,2001,11.69
353,GNB,2001,15.553
354,GNQ,2001,13.363
355,GRC,2001,9.4
356,GRD,2001,7.084
357,GRL,2001,8.3
358,GTM,2001,6.013
359,GUM,2001,4.436
360,GUY,2001,7.286
361,HIC,2001,8.42946659297265
362,HKG,2001,5.0
363,HND,2001,4.992
364,HPC,2001,13.3570257513708
365,HRV,2001,11.2
366,HTI,2001,10.239
367,HUN,2001,13.0
368,IBD,2001,7.56740255270741
369,IBT,2001,8.42175217704581
370,IDA,2001,11.4366443384308
371,IDB,2001,11.8941808922881
372,IDN,2001,7.329
373,IDX,2001,11.2072291834125
374,IMN,2001,12.239
375,IND,2001,8.558
376,INX,2001,0.0
377,IRL,2001,7.8
378,IRN,2001,5.168
379,IRQ,2001,6.041
380,ISL,2001,6.1
381,ISR,2001,5.8
382,ITA,2001,9.6
383,JAM,2001,6.914
384,JOR,2001,3.689
385,JPN,2001,7.7
386,KAZ,2001,9.95
387,KEN,2001,10.587
388,KGZ,2001,6.6
389,KHM,2001,8.667
390,KIR,2001,6.95
391,KNA,2001,9.106
392,KOR,2001,5.1
393,KWT,2001,1.863
394,LAC,2001,6.06780617214013
395,LAO,2001,9.956
396,LBN,2001,4.473
397,LBR,2001,14.312
398,LBY,2001,4.683
399,LCA,2001,6.961
400,LCN,2001,6.04362523387931
401,LDC,2001,11.8022309700262
402,LIC,2001,13.2687824346209
403,LIE,2001,6.6
404,LKA,2001,7.958
405,LMC,2001,8.94962711003102
406,LMY,2001,8.43043668509917
407,LSO,2001,17.289
408,LTE,2001,7.22705263168425
409,LTU,2001,11.6
410,LUX,2001,8.4
411,LVA,2001,14.1
412,MAC,2001,3.654
413,MAF,2001,3.603
414,MAR,2001,6.365
415,MCO,2001,0.0
416,MDA,2001,12.897
417,MDG,2001,9.986
418,MDV,2001,4.087
419,MEA,2001,5.42698006119808
420,MEX,2001,4.962
421,MHL,2001,6.28
422,MIC,2001,8.02591845919578
423,MKD,2001,8.3
424,MLI,2001,15.487
425,MLT,2001,7.4
426,MMR,2001,9.943
427,MNA,2001,5.67566504083825
428,MNE,2001,8.9
429,MNG,2001,7.238
430,MNP,2001,0.0
431,MOZ,2001,15.181
432,MRT,2001,8.766
433,MUS,2001,6.7
434,MWI,2001,18.588
435,MYS,2001,4.435
436,NAC,2001,8.3623312989584
437,NAM,2001,13.129
438,NCL,2001,5.2
439,NER,2001,16.912
440,NGA,2001,17.158
441,NIC,2001,5.615
442,NLD,2001,8.7
443,NOR,2001,9.7
444,NPL,2001,7.949
445,NRU,2001,8.442
446,NZL,2001,7.16
447,OED,2001,8.04865481853549
448,OMN,2001,3.063
449,OSS,2001,10.9652632951424
450,PAK,2001,8.583
451,PAN,2001,4.694
452,PER,2001,5.72
453,PHL,2001,5.689
454,PLW,2001,7.0
455,PNG,2001,7.473
456,POL,2001,9.5
457,PRE,2001,14.1565020743751
458,PRI,2001,7.5
459,PRK,2001,10.97
460,PRT,2001,10.1
461,PRY,2001,5.593
462,PSE,2001,4.4
463,PSS,2001,6.15279147056501
464,PST,2001,9.02029206378334
465,PYF,2001,2.322
466,QAT,2001,2.184
467,ROU,2001,11.7
468,RUS,2001,15.6
469,RWA,2001,14.833
470,SAS,2001,8.41839453806347
471,SAU,2001,3.323
472,SDN,2001,9.56
473,SEN,2001,10.815
474,SGP,2001,4.3
475,SLB,2001,5.92
476,SLE,2001,19.248
477,SLV,2001,6.119
478,SMR,2001,0.0
479,SOM,2001,15.702
480,SRB,2001,13.2
481,SSA,2001,14.2748607631895
482,SSD,2001,17.833
483,SSF,2001,14.2739800215648
484,SST,2001,9.79201621553876
485,STP,2001,9.101
486,SUR,2001,8.084
487,SVK,2001,9.7
488,SVN,2001,9.3
489,SWE,2001,10.5
490,SWZ,2001,15.449
