,Country Code,Year,Life_expectancy_in_years
0,ABW,2000,73.569
1,AFE,2000,51.9644813247726
2,AFG,2000,55.298
3,AFW,2000,50.221953875359
4,AGO,2000,46.024
5,ALB,2000,75.404
6,AND,2000,0.0
7,ARB,2000,67.2973312552373
8,ARE,2000,74.38
9,ARG,2000,73.926
10,ARM,2000,70.624
11,ASM,2000,0.0
12,ATG,2000,74.606
13,AUS,2000,79.2341463414634
14,AUT,2000,78.1268292682927
15,AZE,2000,64.891
16,BDI,2000,47.514
17,BEL,2000,77.7219512195122
18,BEN,2000,56.578
19,BFA,2000,50.847
20,BGD,2000,65.779
21,BGR,2000,71.6634146341463
22,BHR,2000,75.496
23,BHS,2000,72.041
24,BIH,2000,74.496
25,BLR,2000,68.9121951219512
26,BLZ,2000,68.564
27,BMU,2000,78.858
28,BOL,2000,62.346
29,BRA,2000,69.737
30,BRB,2000,74.089
31,BRN,2000,74.08
32,BTN,2000,62.01
33,BWA,2000,51.011
34,CAF,2000,45.406
35,CAN,2000,79.1668292682927
36,CEB,2000,72.719724722779
37,CHE,2000,79.6804878048781
38,CHI,2000,79.155
39,CHL,2000,76.87
40,CHN,2000,71.881
41,CIV,2000,50.842
42,CMR,2000,52.932
43,COD,2000,51.781
44,COG,2000,53.682
45,COL,2000,71.32
46,COM,2000,58.757
47,CPV,2000,68.618
48,CRI,2000,77.586
49,CSS,2000,69.6093331607451
50,CUB,2000,76.183
51,CUW,2000,73.0339512195122
52,CYM,2000,0.0
53,CYP,2000,76.568
54,CZE,2000,74.9682926829268
55,DEU,2000,77.9268292682927
56,DJI,2000,56.573
57,DMA,2000,72.693
58,DNK,2000,76.5926829268293
59,DOM,2000,69.423
60,DZA,2000,70.478
61,EAP,2000,70.5648357047778
62,EAR,2000,64.4992570826455
63,EAS,2000,71.5525698270665
64,ECA,2000,67.6033710320653
65,ECS,2000,73.1320898765724
66,ECU,2000,72.839
67,EGY,2000,68.007
68,EMU,2000,78.2708354495098
69,ERI,2000,56.111
70,ESP,2000,78.9658536585366
71,EST,2000,70.4170731707317
72,ETH,2000,50.538
73,EUU,2000,77.0753168840645
74,FCS,2000,55.5031693998091
75,FIN,2000,77.4658536585366
76,FJI,2000,66.31
77,FRA,2000,79.0560975609756
