,economy,Year,population_growth_rate
0,ABW,2000,2.53923444445246
266,ABW,2001,1.76875662143885
532,ABW,2002,1.19471805545637
798,ABW,2003,0.997395547284924
1064,ABW,2004,0.900989229759957
1330,ABW,2005,1.00307718391638
1596,ABW,2006,1.18156554573069
1862,ABW,2007,1.22771081489399
2128,ABW,2008,1.24139737678817
2394,ABW,2009,1.23323132057229
2660,ABW,2010,1.13154104048985
2926,ABW,2011,0.939355909629835
3192,ABW,2012,0.810230587788097
3458,ABW,2013,0.749301039347625
3724,ABW,2014,0.691615260101675
3990,ABW,2015,0.63795916173479
4256,ABW,2016,0.590062487333077
4522,ABW,2017,0.537295706145068
4788,ABW,2018,0.494795263046989
5054,ABW,2019,0.451969658863314
5320,ABW,2020,0.134255302359952
5586,ABW,2021,-0.0450446230906329
1,AFE,2000,2.5835792421522
267,AFE,2001,2.58996060035651
533,AFE,2002,2.60659802563768
799,AFE,2003,2.617764283814
1065,AFE,2004,2.64496843028186
1331,AFE,2005,2.66624158730311
1597,AFE,2006,2.70252112091536
1863,AFE,2007,2.74710885116298
2129,AFE,2008,2.76581597609149
2395,AFE,2009,2.75574529766985
2661,AFE,2010,2.75792914247424
2927,AFE,2011,2.73818484544645
3193,AFE,2012,2.74040483423965
3459,AFE,2013,2.78020683355606
3725,AFE,2014,2.77499029133435
3991,AFE,2015,2.80258582087383
4257,AFE,2016,2.72815852998758
4523,AFE,2017,2.65567159923015
4789,AFE,2018,2.68837142807428
5055,AFE,2019,2.69113438056398
5321,AFE,2020,2.67818371641901
5587,AFE,2021,2.60747169409558
2,AFG,2000,1.4438030241194
268,AFG,2001,0.742516834396313
534,AFG,2002,6.44932147797304
800,AFG,2003,7.54101896480183
1066,AFG,2004,3.93317768847308
1332,AFG,2005,3.57650800354462
1598,AFG,2006,4.13967803534352
1864,AFG,2007,1.79319572747206
2130,AFG,2008,2.00233326232255
2396,AFG,2009,3.56128837446668
2662,AFG,2010,2.89490410370988
2928,AFG,2011,3.68950830230738
3194,AFG,2012,4.07762772858795
3460,AFG,2013,3.46678830410982
3726,AFG,2014,3.65757606530364
3992,AFG,2015,3.12134122890873
4258,AFG,2016,2.58154939895659
4524,AFG,2017,2.86649214750073
4790,AFG,2018,2.88520797304849
5056,AFG,2019,2.90852909268743
5322,AFG,2020,3.13474690779163
5588,AFG,2021,2.85135765449931
3,AFW,2000,2.74959971917366
269,AFW,2001,2.79965352270915
535,AFW,2002,2.8114526890211
801,AFW,2003,2.81648064619036
1067,AFW,2004,2.82864223341259
1333,AFW,2005,2.84121122009138
1599,AFW,2006,2.83277974471181
1865,AFW,2007,2.8284092989347
2131,AFW,2008,2.83291615086219
2397,AFW,2009,2.84403720240236
2663,AFW,2010,2.8465357411519
2929,AFW,2011,2.84882577221777
3195,AFW,2012,2.81285093462125
3461,AFW,2013,2.76183897675104
3727,AFW,2014,2.75073056798483
3993,AFW,2015,2.72331733741717
4259,AFW,2016,2.71305851036988
4525,AFW,2017,2.70626607586351
4791,AFW,2018,2.66923866802735
5057,AFW,2019,2.63398206911344
5323,AFW,2020,2.61564613985792
5589,AFW,2021,2.57337740168795
4,AGO,2000,3.24412146672851
270,AGO,2001,3.28521723299089
536,AGO,2002,3.33513160843876
802,AGO,2003,3.41332121240757
1068,AGO,2004,3.50638882370405
1334,AGO,2005,3.55765898910381
1600,AGO,2006,3.5920133134417
1866,AGO,2007,3.63958930439587
2132,AGO,2008,3.67090920225351
2398,AGO,2009,3.69348247645612
2664,AGO,2010,3.73479765843852
2930,AGO,2011,3.75879638504539
3196,AGO,2012,3.75870252194126
3462,AGO,2013,3.73552542857565
3728,AGO,2014,3.68442896683492
3994,AGO,2015,3.61767751762095
4260,AGO,2016,3.58621100683242
