,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Death_Rate,Population_15_64_rate,Population_65_above,Cotisation sociale,Life_expectancy_in_years,gov_health_exp_as_perc_of_gdp,undernourished_population_rate,population_rate_with_water_access,mortality_cvd_crd_cancer_diabete_30_70,uhc_service_coverage,population_growth_rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44
0,Afghanistan,AFG,2000,49.664,9815442,9727541,19542982,14.1,0.335,51.55453373,22.078,12.096,9380032.0,446519.0,,55.298,,,27.4418560941262,41.7,23.0,1.4438030241194,13.644,181.0,39.48584231102188
1,Angola,AGO,2000,47.647,8054751,8339311,16394062,15.6,0.375,28.13389466,50.087,18.287,8382476.0,397810.0,1.87852401844986e-06,46.024,1.11098742,,41.1443097881583,28.6,21.0,3.24412146672851,73.05,556.884243549684,41.62055224822812
2,Albania,ALB,2000,17.076,1531486,1557540,3089027,26.3,0.677,24.30286936,41.741,5.798,1934786.0,241623.0,,75.404,2.76583457,,86.3970439494077,18.7,43.0,-0.637356833943492,40.674,1126.68334010717,46.097614790059254
3,United Arab Emirates,ARE,2000,16.66,2237588,1037745,3275333,26.1,0.796,43.64834394,80.236,2.107,2519637.0,29399.0,,74.38,1.63412821,,99.6158329815122,24.4,48.0,5.58038700101525,32.672,31855.5006047175,58.075944439171316
4,Argentina,ARG,2000,19.366,18280746,18790028,37070774,26.8,0.779,14.16360006,89.142,7.6,23012751.0,3611400.0,,73.926,4.49895144,,96.2840257442126,20.4,68.0,1.13327702210541,42.177,7666.51783423783,42.71120032391651
5,Armenia,ARM,2000,12.51,1496293,1672231,3168523,28.7,0.662,31.07417312,64.666,8.27,2028347.0,287671.0,,70.624,0.95468217,,95.3321795073804,26.7,44.0,-1.17678628879226,48.0,603.298025247115,46.7211766795377
6,Australia,AUS,2000,13.0,9443035,9585767,19028802,34.4,0.896,7.356627454,84.235,6.7,12729175.0,2353586.0,,79.2341463414634,5.45928478,,99.7122951850974,12.9,81.0,1.14447285147721,51.194,21870.4159669594,43.69586486111561
7,Austria,AUT,2000,9.8,3874820,4136746,8011566,37.1,0.871,17.30168358,60.213,9.6,5411062.0,1234825.0,,78.1268292682927,6.82578707,,99.9999997317949,15.3,70.0,0.240466652446524,47.117,24625.6007227434,41.86232224901438
8,Azerbaijan,AZE,2000,14.5,3868986,4179613,8048600,24.5,0.622,24.5397947,51.386,5.8,5109845.0,444193.0,,64.891,0.86689276,,73.4165803447003,32.5,42.0,0.821519963674211,62.973,655.097249579917,50.74026898459814
9,Burundi,BDI,2000,42.473,3105481,3202178,6307659,14.7,0.297,36.18281228,8.246,15.907,3114122.0,153333.0,,47.514,1.46507239,,50.6631178584695,36.8,19.0,2.0417212041938,81.952,138.004617225366,40.39945624509319
10,Belgium,BEL,2000,11.4,5012963,5238286,10251250,37.9,0.887,17.64764194,97.129,10.2,6723820.0,1722393.0,,77.7219512195122,5.96185923,,99.9999969007735,15.4,77.0,0.242517956221334,40.029,23098.8865077401,40.3125161761926
11,Benin,BEN,2000,41.672,3468525,3529498,6998023,16.2,0.416,47.6135595,38.333,11.964,3606758.0,229660.0,,56.578,0.80706602,,61.7404116172502,25.3,21.0,3.03845662138601,63.144,502.997981069672,41.69755868964932
12,Burkina Faso,BFA,2000,45.188,5850935,6031953,11882888,15.4,0.296,54.88701913,17.844,15.314,5999424.0,349070.0,,50.847,0.96129316,,57.5604209016516,25.7,15.0,2.98388558736392,67.03,249.802075690488,41.1651582828978
13,Bangladesh,BGD,2000,28.956,65883360,63309967,129193327,19.7,0.485,53.74695817,23.59,6.855,76134099.0,4858863.0,,65.779,0.59449899,,94.8189212128758,23.2,23.0,1.90552404891968,27.196,413.100185264402,47.96624401994835
14,Bulgaria,BGR,2000,9.0,3936609,4233564,8170172,38.6,0.725,26.03477866,68.899,14.1,5521592.0,1371852.0,,71.6634146341463,3.4715004,,99.8130157809927,28.5,56.0,-0.493896416633318,37.6,1621.26210738992,40.25318362271169
15,Bahrain,BHR,2000,20.739,419570,291872,711442,25.0,0.798,63.07217982,88.372,2.595,485650.0,17526.0,,75.496,2.3711853,,99.958665400505,30.8,60.0,2.7515762605179,33.767,12738.7741181575,53.58899378664928
16,Bosnia and Herzegovina,BIH,2000,10.068,2038674,2140676,4179350,32.9,0.667,38.18887373,42.384,8.358,2885013.0,474164.0,,74.496,4.08413935,,97.2697023620953,22.0,44.0,0.632139635256837,20.685,1332.21021661547,45.137540664724604
17,Belarus,BLR,2000,9.4,4648837,5330773,9979610,35.5,0.712,21.8129049,69.973,13.5,6746976.0,1384733.0,,68.9121951219512,4.15422821,,98.3562356334077,33.2,53.0,-0.471131334643547,48.153,1276.28038121269,42.94144252919824
18,Belize,BLZ,2000,30.388,121540,118866,240406,18.6,0.64,22.6202028,45.398,5.858,134937.0,9480.0,0.122713935890931,68.564,1.85196733,,87.4314870895846,23.4,47.0,3.24372870048271,31.751,4720.16821801746,47.01049921760635
19,Bolivia,BOL,2000,29.717,4339846,4252810,8592656,19.6,0.632,29.95434417,61.787,9.826,4851108.0,437610.0,,62.346,2.43201661,,80.7715746117768,20.8,37.0,1.80379049207336,57.945,977.329417675872,43.66556465019602
20,Brazil,BRA,2000,19.841,87124330,88749390,175873720,24.3,0.679,14.59147229,81.192,6.399,113723821.0,9679708.0,,69.737,3.47014546,,93.4715252595615,21.6,68.0,1.36677132973907,43.689,3726.81166909716,49.0757249148417
21,Barbados,BRB,2000,13.955,126860,137797,264657,32.4,0.756,22.09745927,33.827,9.47,177092.0,29652.0,,74.089,2.76476121,,98.3244234586283,17.0,54.0,0.18418126822941,55.541,11560.2459031879,46.32067461555768
22,Botswana,BWA,2000,28.961,837941,889044,1726985,18.4,0.585,24.03724388,53.219,13.128,996249.0,56120.0,,51.011,3.2540555,,75.1696350758408,38.4,35.0,2.07271158015976,40.074,3351.6965168531,48.80219651670782
23,Central African Republic,CAF,2000,43.259,1890780,1868390,3759170,15.8,0.329,45.264541,37.639,17.325,1960217.0,79486.0,,45.406,1.72009099,,59.0104896097958,41.7,18.0,2.80036047898137,59.669,243.877580075298,43.47020696963698
